Buying,Maint,Doors,Persons,Lug_boot,Safety,Class
14,14,2,2,9,11,21
14,14,2,2,9,12,21
14,14,2,2,9,13,21
14,14,2,2,12,11,21
14,14,2,2,12,12,21
14,14,2,2,12,13,21
14,14,2,2,15,11,21
14,14,2,2,15,12,21
14,14,2,2,15,13,21
14,14,2,4,9,11,21
14,14,2,4,9,12,21
14,14,2,4,9,13,21
14,14,2,4,12,11,21
14,14,2,4,12,12,21
14,14,2,4,12,13,21
14,14,2,4,15,11,21
14,14,2,4,15,12,21
14,14,2,4,15,13,21
14,14,2,99,9,11,21
14,14,2,99,9,12,21
14,14,2,99,9,13,21
14,14,2,99,12,11,21
14,14,2,99,12,12,21
14,14,2,99,12,13,21
14,14,2,99,15,11,21
14,14,2,99,15,12,21
14,14,2,99,15,13,21
14,14,3,2,9,11,21
14,14,3,2,9,12,21
14,14,3,2,9,13,21
14,14,3,2,12,11,21
14,14,3,2,12,12,21
14,14,3,2,12,13,21
14,14,3,2,15,11,21
14,14,3,2,15,12,21
14,14,3,2,15,13,21
14,14,3,4,9,11,21
14,14,3,4,9,12,21
14,14,3,4,9,13,21
14,14,3,4,12,11,21
14,14,3,4,12,12,21
14,14,3,4,12,13,21
14,14,3,4,15,11,21
14,14,3,4,15,12,21
14,14,3,4,15,13,21
14,14,3,99,9,11,21
14,14,3,99,9,12,21
14,14,3,99,9,13,21
14,14,3,99,12,11,21
14,14,3,99,12,12,21
14,14,3,99,12,13,21
14,14,3,99,15,11,21
14,14,3,99,15,12,21
14,14,3,99,15,13,21
14,14,4,2,9,11,21
14,14,4,2,9,12,21
14,14,4,2,9,13,21
14,14,4,2,12,11,21
14,14,4,2,12,12,21
14,14,4,2,12,13,21
14,14,4,2,15,11,21
14,14,4,2,15,12,21
14,14,4,2,15,13,21
14,14,4,4,9,11,21
14,14,4,4,9,12,21
14,14,4,4,9,13,21
14,14,4,4,12,11,21
14,14,4,4,12,12,21
14,14,4,4,12,13,21
14,14,4,4,15,11,21
14,14,4,4,15,12,21
14,14,4,4,15,13,21
14,14,4,99,9,11,21
14,14,4,99,9,12,21
14,14,4,99,9,13,21
14,14,4,99,12,11,21
14,14,4,99,12,12,21
14,14,4,99,12,13,21
14,14,4,99,15,11,21
14,14,4,99,15,12,21
14,14,4,99,15,13,21
14,14,599,2,9,11,21
14,14,599,2,9,12,21
14,14,599,2,9,13,21
14,14,599,2,12,11,21
14,14,599,2,12,12,21
14,14,599,2,12,13,21
14,14,599,2,15,11,21
14,14,599,2,15,12,21
14,14,599,2,15,13,21
14,14,599,4,9,11,21
14,14,599,4,9,12,21
14,14,599,4,9,13,21
14,14,599,4,12,11,21
14,14,599,4,12,12,21
14,14,599,4,12,13,21
14,14,599,4,15,11,21
14,14,599,4,15,12,21
14,14,599,4,15,13,21
14,14,599,99,9,11,21
14,14,599,99,9,12,21
14,14,599,99,9,13,21
14,14,599,99,12,11,21
14,14,599,99,12,12,21
14,14,599,99,12,13,21
14,14,599,99,15,11,21
14,14,599,99,15,12,21
14,14,599,99,15,13,21
14,13,2,2,9,11,21
14,13,2,2,9,12,21
14,13,2,2,9,13,21
14,13,2,2,12,11,21
14,13,2,2,12,12,21
14,13,2,2,12,13,21
14,13,2,2,15,11,21
14,13,2,2,15,12,21
14,13,2,2,15,13,21
14,13,2,4,9,11,21
14,13,2,4,9,12,21
14,13,2,4,9,13,21
14,13,2,4,12,11,21
14,13,2,4,12,12,21
14,13,2,4,12,13,21
14,13,2,4,15,11,21
14,13,2,4,15,12,21
14,13,2,4,15,13,21
14,13,2,99,9,11,21
14,13,2,99,9,12,21
14,13,2,99,9,13,21
14,13,2,99,12,11,21
14,13,2,99,12,12,21
14,13,2,99,12,13,21
14,13,2,99,15,11,21
14,13,2,99,15,12,21
14,13,2,99,15,13,21
14,13,3,2,9,11,21
14,13,3,2,9,12,21
14,13,3,2,9,13,21
14,13,3,2,12,11,21
14,13,3,2,12,12,21
14,13,3,2,12,13,21
14,13,3,2,15,11,21
14,13,3,2,15,12,21
14,13,3,2,15,13,21
14,13,3,4,9,11,21
14,13,3,4,9,12,21
14,13,3,4,9,13,21
14,13,3,4,12,11,21
14,13,3,4,12,12,21
14,13,3,4,12,13,21
14,13,3,4,15,11,21
14,13,3,4,15,12,21
14,13,3,4,15,13,21
14,13,3,99,9,11,21
14,13,3,99,9,12,21
14,13,3,99,9,13,21
14,13,3,99,12,11,21
14,13,3,99,12,12,21
14,13,3,99,12,13,21
14,13,3,99,15,11,21
14,13,3,99,15,12,21
14,13,3,99,15,13,21
14,13,4,2,9,11,21
14,13,4,2,9,12,21
14,13,4,2,9,13,21
14,13,4,2,12,11,21
14,13,4,2,12,12,21
14,13,4,2,12,13,21
14,13,4,2,15,11,21
14,13,4,2,15,12,21
14,13,4,2,15,13,21
14,13,4,4,9,11,21
14,13,4,4,9,12,21
14,13,4,4,9,13,21
14,13,4,4,12,11,21
14,13,4,4,12,12,21
14,13,4,4,12,13,21
14,13,4,4,15,11,21
14,13,4,4,15,12,21
14,13,4,4,15,13,21
14,13,4,99,9,11,21
14,13,4,99,9,12,21
14,13,4,99,9,13,21
14,13,4,99,12,11,21
14,13,4,99,12,12,21
14,13,4,99,12,13,21
14,13,4,99,15,11,21
14,13,4,99,15,12,21
14,13,4,99,15,13,21
14,13,599,2,9,11,21
14,13,599,2,9,12,21
14,13,599,2,9,13,21
14,13,599,2,12,11,21
14,13,599,2,12,12,21
14,13,599,2,12,13,21
14,13,599,2,15,11,21
14,13,599,2,15,12,21
14,13,599,2,15,13,21
14,13,599,4,9,11,21
14,13,599,4,9,12,21
14,13,599,4,9,13,21
14,13,599,4,12,11,21
14,13,599,4,12,12,21
14,13,599,4,12,13,21
14,13,599,4,15,11,21
14,13,599,4,15,12,21
14,13,599,4,15,13,21
14,13,599,99,9,11,21
14,13,599,99,9,12,21
14,13,599,99,9,13,21
14,13,599,99,12,11,21
14,13,599,99,12,12,21
14,13,599,99,12,13,21
14,13,599,99,15,11,21
14,13,599,99,15,12,21
14,13,599,99,15,13,21
14,12,2,2,9,11,21
14,12,2,2,9,12,21
14,12,2,2,9,13,21
14,12,2,2,12,11,21
14,12,2,2,12,12,21
14,12,2,2,12,13,21
14,12,2,2,15,11,21
14,12,2,2,15,12,21
14,12,2,2,15,13,21
14,12,2,4,9,11,21
14,12,2,4,9,12,21
14,12,2,4,9,13,22
14,12,2,4,12,11,21
14,12,2,4,12,12,21
14,12,2,4,12,13,22
14,12,2,4,15,11,21
14,12,2,4,15,12,22
14,12,2,4,15,13,22
14,12,2,99,9,11,21
14,12,2,99,9,12,21
14,12,2,99,9,13,21
14,12,2,99,12,11,21
14,12,2,99,12,12,21
14,12,2,99,12,13,22
14,12,2,99,15,11,21
14,12,2,99,15,12,22
14,12,2,99,15,13,22
14,12,3,2,9,11,21
14,12,3,2,9,12,21
14,12,3,2,9,13,21
14,12,3,2,12,11,21
14,12,3,2,12,12,21
14,12,3,2,12,13,21
14,12,3,2,15,11,21
14,12,3,2,15,12,21
14,12,3,2,15,13,21
14,12,3,4,9,11,21
14,12,3,4,9,12,21
14,12,3,4,9,13,22
14,12,3,4,12,11,21
14,12,3,4,12,12,21
14,12,3,4,12,13,22
14,12,3,4,15,11,21
14,12,3,4,15,12,22
14,12,3,4,15,13,22
14,12,3,99,9,11,21
14,12,3,99,9,12,21
14,12,3,99,9,13,22
14,12,3,99,12,11,21
14,12,3,99,12,12,22
14,12,3,99,12,13,22
14,12,3,99,15,11,21
14,12,3,99,15,12,22
14,12,3,99,15,13,22
14,12,4,2,9,11,21
14,12,4,2,9,12,21
14,12,4,2,9,13,21
14,12,4,2,12,11,21
14,12,4,2,12,12,21
14,12,4,2,12,13,21
14,12,4,2,15,11,21
14,12,4,2,15,12,21
14,12,4,2,15,13,21
14,12,4,4,9,11,21
14,12,4,4,9,12,21
14,12,4,4,9,13,22
14,12,4,4,12,11,21
14,12,4,4,12,12,22
14,12,4,4,12,13,22
14,12,4,4,15,11,21
14,12,4,4,15,12,22
14,12,4,4,15,13,22
14,12,4,99,9,11,21
14,12,4,99,9,12,21
14,12,4,99,9,13,22
14,12,4,99,12,11,21
14,12,4,99,12,12,22
14,12,4,99,12,13,22
14,12,4,99,15,11,21
14,12,4,99,15,12,22
14,12,4,99,15,13,22
14,12,599,2,9,11,21
14,12,599,2,9,12,21
14,12,599,2,9,13,21
14,12,599,2,12,11,21
14,12,599,2,12,12,21
14,12,599,2,12,13,21
14,12,599,2,15,11,21
14,12,599,2,15,12,21
14,12,599,2,15,13,21
14,12,599,4,9,11,21
14,12,599,4,9,12,21
14,12,599,4,9,13,22
14,12,599,4,12,11,21
14,12,599,4,12,12,22
14,12,599,4,12,13,22
14,12,599,4,15,11,21
14,12,599,4,15,12,22
14,12,599,4,15,13,22
14,12,599,99,9,11,21
14,12,599,99,9,12,21
14,12,599,99,9,13,22
14,12,599,99,12,11,21
14,12,599,99,12,12,22
14,12,599,99,12,13,22
14,12,599,99,15,11,21
14,12,599,99,15,12,22
14,12,599,99,15,13,22
14,11,2,2,9,11,21
14,11,2,2,9,12,21
14,11,2,2,9,13,21
14,11,2,2,12,11,21
14,11,2,2,12,12,21
14,11,2,2,12,13,21
14,11,2,2,15,11,21
14,11,2,2,15,12,21
14,11,2,2,15,13,21
14,11,2,4,9,11,21
14,11,2,4,9,12,21
14,11,2,4,9,13,22
14,11,2,4,12,11,21
14,11,2,4,12,12,21
14,11,2,4,12,13,22
14,11,2,4,15,11,21
14,11,2,4,15,12,22
14,11,2,4,15,13,22
14,11,2,99,9,11,21
14,11,2,99,9,12,21
14,11,2,99,9,13,21
14,11,2,99,12,11,21
14,11,2,99,12,12,21
14,11,2,99,12,13,22
14,11,2,99,15,11,21
14,11,2,99,15,12,22
14,11,2,99,15,13,22
14,11,3,2,9,11,21
14,11,3,2,9,12,21
